,index,Address
192,"F5, Inc.","801 5TH AVENUE SEATTLE, WASHINGTON 98104"
193,FactSet,"45 GLOVER AVENUE NORWALK, CONNECTICUT 06850"
194,Fair Isaac,"5 WEST MENDENHALL SUITES 105 BOZEMAN, MONTANA 59715"
195,Fastenal,"2001 THEURER BLVD WINONA, MINNESOTA 55987"
196,Federal Realty,"909 ROSE AVENUE, SUITE 200 NORTH BETHESDA, MARYLAND 20852"
197,FedEx,"942 SOUTH SHADY GROVE ROAD MEMPHIS, TENNESSEE 38120-"
198,Fifth Third Bank,"38 FOUNTAIN SQ PLZ FIFTH THIRD CENTER CINCINNATI, OHIO 45263"
199,First Republic Bank,"111 PINE STREET SAN FRACISCO, CALIFORNIA 94111"
200,First Solar,"350 WEST WASHINGTON STREET SUITE 600 TEMPE, ARIZONA 85288"
201,FirstEnergy,"76 SOUTH MAIN ST AKRON, OHIO 44308-1890"
202,FIS,"347 RIVERSIDE AVENUE JACKSONVILLE, FLORIDA 32202"
203,Fiserv,"255 FISERV DR PO BOX 979 BROOKFIELD, WISCONSIN 53045"
204,Fleetcor,"3280 PEACHTREE ROAD SUITE 2400 ATLANTA, GEORGIA 30305"
205,FMC Corporation,"2929 WALNUT STREET PHILADELPHIA, PENNSYLVANIA 19104"
206,Ford Motor Company,"ONE AMERICAN ROAD DEARBORN, MICHIGAN 48126"
207,Fortinet,"899 KIFER ROAD SUNNYVALE, CALIFORNIA 94086"
208,Fortive,"6920 SEAWAY BLVD. EVERETT, WASHINGTON 98203"
209,Fox Corporation (Class A),"1211 AVENUE OF THE AMERICAS NEW YORK, NEW YORK 10036"
210,Fox Corporation (Class B),"1211 AVENUE OF THE AMERICAS NEW YORK, NEW YORK 10036"
211,Franklin Templeton,"ONE FRANKLIN PARKWAY BUILDING 920/2, LEGAL-FRI SECRETARY SAN MATEO, CALIFORNIA 94403"
212,Freeport-McMoRan,"333 NORTH CENTRAL AVENUE PHOENIX, ARIZONA 85004"
213,Garmin,"MUHLENTALSTRASSE 2 SCHAFFHAUSEN, SWITZERLAND CH-8200"
214,Gartner,"56 TOP GALLANT RD P O BOX 10212 STAMFORD, CONNECTICUT 06904-2212"
215,GE HealthCare,"500 WEST MONROE STREET CHICAGO, ILLINOIS 60661"
216,Gen Digital,"60 E RIO SALADO PARKWAY SUITE 1000 TEMPE, ARIZONA 85281"
217,Generac,"S45 W29290 HIGHWAY 59 WAUKESHA, WISCONSIN 53187"
218,General Dynamics,"11011 SUNSET HILLS RD RESTON, VIRGINIA 20190"
219,General Electric,"5 NECCO STREET BOSTON, MASSACHUSETTS 02210"
220,General Mills,"NUMBER ONE GENERAL MILLS BLVD MINNEAPOLIS, MINNESOTA 55426"
221,General Motors,"300 RENAISSANCE CENTER DETROIT, MICHIGAN 48265-3000"
222,Genuine Parts Company,"2999 WILDWOOD PARKWAY ATLANTA, GEORGIA 30339"
223,Gilead Sciences,"333 LAKESIDE DR FOSTER CITY, CALIFORNIA 94404"
